word	nodeType	unit	synset
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
right	ADJ	lovecraftSentences	36
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
right	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
good	ADJ	lovecraftSentences	27
clear	ADJ	lovecraftSentences	45
close	ADJ	lovecraftSentences	37
right	ADJ	lovecraftSentences	36
white	ADJ	lovecraftSentences	25
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
heavy	ADJ	lovecraftSentences	30
back	ADJ	lovecraftSentences	28
good	ADJ	lovecraftSentences	27
right	ADJ	lovecraftSentences	36
heavy	ADJ	lovecraftSentences	30
go	ADJ	lovecraftSentences	35
clear	ADJ	lovecraftSentences	45
back	ADJ	lovecraftSentences	28
open	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
light	ADJ	lovecraftSentences	47
heavy	ADJ	lovecraftSentences	30
open	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
clear	ADJ	lovecraftSentences	45
close	ADJ	lovecraftSentences	37
white	ADJ	lovecraftSentences	25
close	ADJ	lovecraftSentences	37
back	ADJ	lovecraftSentences	28
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
clear	ADJ	lovecraftSentences	45
white	ADJ	lovecraftSentences	25
right	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
right	ADJ	lovecraftSentences	36
clear	ADJ	lovecraftSentences	45
heavy	ADJ	lovecraftSentences	30
heavy	ADJ	lovecraftSentences	30
white	ADJ	lovecraftSentences	25
good	ADJ	lovecraftSentences	27
close	ADJ	lovecraftSentences	37
right	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
closed	ADJ	lovecraftSentences	26
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
heavy	ADJ	lovecraftSentences	30
open	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
heavy	ADJ	lovecraftSentences	30
heavy	ADJ	lovecraftSentences	30
close	ADJ	lovecraftSentences	37
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
right	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
open	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
close	ADJ	lovecraftSentences	37
white	ADJ	lovecraftSentences	25
good	ADJ	lovecraftSentences	27
clear	ADJ	lovecraftSentences	45
heavy	ADJ	lovecraftSentences	30
light	ADJ	lovecraftSentences	47
open	ADJ	lovecraftSentences	36
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
good	ADJ	lovecraftSentences	27
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
good	ADJ	lovecraftSentences	27
good	ADJ	lovecraftSentences	27
clear	ADJ	lovecraftSentences	45
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
closed	ADJ	lovecraftSentences	26
close	ADJ	lovecraftSentences	37
light	ADJ	lovecraftSentences	47
light	ADJ	lovecraftSentences	47
light	ADJ	lovecraftSentences	47
open	ADJ	lovecraftSentences	36
white	ADJ	lovecraftSentences	25
light	ADJ	lovecraftSentences	47
heavy	ADJ	lovecraftSentences	30
heavy	ADJ	lovecraftSentences	30
right	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
heavy	ADJ	lovecraftSentences	30
clear	ADJ	lovecraftSentences	45
broken	ADJ	lovecraftSentences	72
open	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
good	ADJ	lovecraftSentences	27
clear	ADJ	lovecraftSentences	45
clear	ADJ	lovecraftSentences	45
covered	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
clear	ADJ	lovecraftSentences	45
following	ADJ	lovecraftSentences	30
heavy	ADJ	lovecraftSentences	30
open	ADJ	lovecraftSentences	36
heavy	ADJ	lovecraftSentences	30
close	ADJ	lovecraftSentences	37
square	ADJ	lovecraftSentences	25
clear	ADJ	lovecraftSentences	45
clear	ADJ	lovecraftSentences	45
close	ADJ	lovecraftSentences	37
open	ADJ	lovecraftSentences	36
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
heavy	ADJ	lovecraftSentences	30
light	ADJ	lovecraftSentences	47
clear	ADJ	lovecraftSentences	45
open	ADJ	lovecraftSentences	36
close	ADJ	lovecraftSentences	37
