word	nodeType	unit	synset
wild	ADJ	lovecraftSentences	17
deep	ADJ	lovecraftSentences	21
dark	ADJ	lovecraftSentences	16
low	ADJ	lovecraftSentences	16
good	ADJ	lovecraftSentences	27
open	ADJ	lovecraftSentences	36
dark	ADJ	lovecraftSentences	16
blue	ADJ	lovecraftSentences	16
deep	ADJ	lovecraftSentences	21
dark	ADJ	lovecraftSentences	16
big	ADJ	lovecraftSentences	17
soft	ADJ	lovecraftSentences	20
open	ADJ	lovecraftSentences	36
wild	ADJ	lovecraftSentences	17
bad	ADJ	lovecraftSentences	17
last	ADJ	lovecraftSentences	21
dead	ADJ	lovecraftSentences	21
black	ADJ	lovecraftSentences	22
dark	ADJ	lovecraftSentences	16
deep	ADJ	lovecraftSentences	21
good	ADJ	lovecraftSentences	27
white	ADJ	lovecraftSentences	25
dark	ADJ	lovecraftSentences	16
well	ADJ	lovecraftSentences	22
well	ADJ	lovecraftSentences	22
low	ADJ	lovecraftSentences	16
right	ADJ	lovecraftSentences	36
black	ADJ	lovecraftSentences	22
wild	ADJ	lovecraftSentences	17
white	ADJ	lovecraftSentences	25
white	ADJ	lovecraftSentences	25
big	ADJ	lovecraftSentences	17
soft	ADJ	lovecraftSentences	20
soft	ADJ	lovecraftSentences	20
hot	ADJ	lovecraftSentences	21
good	ADJ	lovecraftSentences	27
hot	ADJ	lovecraftSentences	21
hot	ADJ	lovecraftSentences	21
deep	ADJ	lovecraftSentences	21
fit	ADJ	lovecraftSentences	16
cold	ADJ	lovecraftSentences	16
white	ADJ	lovecraftSentences	25
right	ADJ	lovecraftSentences	36
bad	ADJ	lovecraftSentences	17
wild	ADJ	lovecraftSentences	17
wild	ADJ	lovecraftSentences	17
second	ADJ	lovecraftSentences	15
well	ADJ	lovecraftSentences	22
right	ADJ	lovecraftSentences	36
short	ADJ	lovecraftSentences	23
dark	ADJ	lovecraftSentences	16
bad	ADJ	lovecraftSentences	17
heavy	ADJ	lovecraftSentences	30
well	ADJ	lovecraftSentences	22
good	ADJ	lovecraftSentences	27
high	ADJ	lovecraftSentences	18
good	ADJ	lovecraftSentences	27
bad	ADJ	lovecraftSentences	17
bad	ADJ	lovecraftSentences	17
dry	ADJ	lovecraftSentences	19
last	ADJ	lovecraftSentences	21
live	ADJ	lovecraftSentences	19
solid	ADJ	lovecraftSentences	18
dead	ADJ	lovecraftSentences	21
bad	ADJ	lovecraftSentences	17
cold	ADJ	lovecraftSentences	16
last	ADJ	lovecraftSentences	21
clear	ADJ	lovecraftSentences	45
close	ADJ	lovecraftSentences	37
right	ADJ	lovecraftSentences	36
low	ADJ	lovecraftSentences	16
white	ADJ	lovecraftSentences	25
dark	ADJ	lovecraftSentences	16
dark	ADJ	lovecraftSentences	16
second	ADJ	lovecraftSentences	15
present	ADJ	lovecraftSentences	18
low	ADJ	lovecraftSentences	16
dark	ADJ	lovecraftSentences	16
heavy	ADJ	lovecraftSentences	30
good	ADJ	lovecraftSentences	27
black	ADJ	lovecraftSentences	22
dark	ADJ	lovecraftSentences	16
heavy	ADJ	lovecraftSentences	30
last	ADJ	lovecraftSentences	21
advanced	ADJ	lovecraftSentences	20
dry	ADJ	lovecraftSentences	19
back	ADJ	lovecraftSentences	28
last	ADJ	lovecraftSentences	21
low	ADJ	lovecraftSentences	16
solid	ADJ	lovecraftSentences	18
true	ADJ	lovecraftSentences	15
well	ADJ	lovecraftSentences	22
good	ADJ	lovecraftSentences	27
black	ADJ	lovecraftSentences	22
dull	ADJ	lovecraftSentences	19
last	ADJ	lovecraftSentences	21
black	ADJ	lovecraftSentences	22
right	ADJ	lovecraftSentences	36
last	ADJ	lovecraftSentences	21
last	ADJ	lovecraftSentences	21
last	ADJ	lovecraftSentences	21
last	ADJ	lovecraftSentences	21
short	ADJ	lovecraftSentences	23
sharp	ADJ	lovecraftSentences	15
dry	ADJ	lovecraftSentences	19
standing	ADJ	lovecraftSentences	21
high	ADJ	lovecraftSentences	18
black	ADJ	lovecraftSentences	22
dark	ADJ	lovecraftSentences	16
deep	ADJ	lovecraftSentences	21
heavy	ADJ	lovecraftSentences	30
wild	ADJ	lovecraftSentences	17
last	ADJ	lovecraftSentences	21
go	ADJ	lovecraftSentences	35
low	ADJ	lovecraftSentences	16
last	ADJ	lovecraftSentences	21
clear	ADJ	lovecraftSentences	45
last	ADJ	lovecraftSentences	21
back	ADJ	lovecraftSentences	28
high	ADJ	lovecraftSentences	18
bad	ADJ	lovecraftSentences	17
bad	ADJ	lovecraftSentences	17
black	ADJ	lovecraftSentences	22
open	ADJ	lovecraftSentences	36
foul	ADJ	lovecraftSentences	16
well	ADJ	lovecraftSentences	22
regular	ADJ	lovecraftSentences	17
closing	ADJ	lovecraftSentences	23
black	ADJ	lovecraftSentences	22
bad	ADJ	lovecraftSentences	17
last	ADJ	lovecraftSentences	21
right	ADJ	lovecraftSentences	36
deep	ADJ	lovecraftSentences	21
dead	ADJ	lovecraftSentences	21
right	ADJ	lovecraftSentences	36
wild	ADJ	lovecraftSentences	17
light	ADJ	lovecraftSentences	47
heavy	ADJ	lovecraftSentences	30
bad	ADJ	lovecraftSentences	17
wild	ADJ	lovecraftSentences	17
dark	ADJ	lovecraftSentences	16
deep	ADJ	lovecraftSentences	21
deep	ADJ	lovecraftSentences	21
dead	ADJ	lovecraftSentences	21
black	ADJ	lovecraftSentences	22
