word	nodeType	unit	synset
wild	ADJ	lovecraftSentences	17
deep	ADJ	lovecraftSentences	21
dark	ADJ	lovecraftSentences	16
narrow	ADJ	lovecraftSentences	10
thin	ADJ	lovecraftSentences	13
gentler	ADJ	lovecraftSentences	7
ancient	ADJ	lovecraftSentences	4
rocky	ADJ	lovecraftSentences	4
old	ADJ	lovecraftSentences	9
great	ADJ	lovecraftSentences	7
vacant	ADJ	lovecraftSentences	2
wide	ADJ	lovecraftSentences	11
shingled	ADJ	lovecraftSentences	1
low	ADJ	lovecraftSentences	16
old	ADJ	lovecraftSentences	9
good	ADJ	lovecraftSentences	27
restful	ADJ	lovecraftSentences	1
old	ADJ	lovecraftSentences	9
strange	ADJ	lovecraftSentences	3
little	ADJ	lovecraftSentences	10
only	ADJ	lovecraftSentences	9
strange	ADJ	lovecraftSentences	3
open	ADJ	lovecraftSentences	36
blasted	ADJ	lovecraftSentences	11
new	ADJ	lovecraftSentences	12
old	ADJ	lovecraftSentences	9
linger	ADJ	lovecraftSentences	5
new	ADJ	lovecraftSentences	12
dark	ADJ	lovecraftSentences	16
blue	ADJ	lovecraftSentences	16
strange	ADJ	lovecraftSentences	3
deep	ADJ	lovecraftSentences	21
hidden	ADJ	lovecraftSentences	7
old	ADJ	lovecraftSentences	9
primal	ADJ	lovecraftSentences	2
new	ADJ	lovecraftSentences	12
evil	ADJ	lovecraftSentences	6
old	ADJ	lovecraftSentences	9
full	ADJ	lovecraftSentences	13
odd	ADJ	lovecraftSentences	6
theatrical	ADJ	lovecraftSentences	3
puritan	ADJ	lovecraftSentences	3
dark	ADJ	lovecraftSentences	16
westward	ADJ	lovecraftSentences	3
own	ADJ	lovecraftSentences	2
eld	ADJ	lovecraftSentences	2
big	ADJ	lovecraftSentences	17
healthy	ADJ	lovecraftSentences	5
much	ADJ	lovecraftSentences	7
dim	ADJ	lovecraftSentences	10
soft	ADJ	lovecraftSentences	20
dank	ADJ	lovecraftSentences	1
infinite	ADJ	lovecraftSentences	5
open	ADJ	lovecraftSentences	36
old	ADJ	lovecraftSentences	9
little	ADJ	lovecraftSentences	10
lone	ADJ	lovecraftSentences	3
furtive	ADJ	lovecraftSentences	2
wild	ADJ	lovecraftSentences	17
unreal	ADJ	lovecraftSentences	4
vital	ADJ	lovecraftSentences	4
awry	ADJ	lovecraftSentences	4
much	ADJ	lovecraftSentences	7
forbidden	ADJ	lovecraftSentences	3
bad	ADJ	lovecraftSentences	17
blasted	ADJ	lovecraftSentences	11
spacious	ADJ	lovecraftSentences	2
other	ADJ	lovecraftSentences	4
such	ADJ	lovecraftSentences	2
other	ADJ	lovecraftSentences	4
particular	ADJ	lovecraftSentences	9
new	ADJ	lovecraftSentences	12
grey	ADJ	lovecraftSentences	13
great	ADJ	lovecraftSentences	7
ancient	ADJ	lovecraftSentences	4
little	ADJ	lovecraftSentences	10
other	ADJ	lovecraftSentences	4
odd	ADJ	lovecraftSentences	6
last	ADJ	lovecraftSentences	21
broad	ADJ	lovecraftSentences	9
fine	ADJ	lovecraftSentences	10
grey	ADJ	lovecraftSentences	13
sickly	ADJ	lovecraftSentences	2
stunted	ADJ	lovecraftSentences	3
many	ADJ	lovecraftSentences	1
dead	ADJ	lovecraftSentences	21
old	ADJ	lovecraftSentences	9
black	ADJ	lovecraftSentences	22
stagnant	ADJ	lovecraftSentences	2
strange	ADJ	lovecraftSentences	3
long	ADJ	lovecraftSentences	12
dark	ADJ	lovecraftSentences	16
welcome	ADJ	lovecraftSentences	6
more	ADJ	lovecraftSentences	5
frightened	ADJ	lovecraftSentences	4
old	ADJ	lovecraftSentences	9
lonely	ADJ	lovecraftSentences	4
remote	ADJ	lovecraftSentences	6
ominous	ADJ	lovecraftSentences	2
odd	ADJ	lovecraftSentences	6
deep	ADJ	lovecraftSentences	21
old	ADJ	lovecraftSentences	9
blasted	ADJ	lovecraftSentences	11
strange	ADJ	lovecraftSentences	3
many	ADJ	lovecraftSentences	1
good	ADJ	lovecraftSentences	27
recent	ADJ	lovecraftSentences	3
old	ADJ	lovecraftSentences	9
exact	ADJ	lovecraftSentences	4
old	ADJ	lovecraftSentences	9
crazy	ADJ	lovecraftSentences	6
next	ADJ	lovecraftSentences	4
alone	ADJ	lovecraftSentences	6
ancient	ADJ	lovecraftSentences	4
tottering	ADJ	lovecraftSentences	5
thick	ADJ	lovecraftSentences	13
ancient	ADJ	lovecraftSentences	4
faint	ADJ	lovecraftSentences	8
miasmal	ADJ	lovecraftSentences	1
persistent	ADJ	lovecraftSentences	4
aged	ADJ	lovecraftSentences	9
glad	ADJ	lovecraftSentences	5
feeble	ADJ	lovecraftSentences	4
curious	ADJ	lovecraftSentences	3
unkempt	ADJ	lovecraftSentences	2
white	ADJ	lovecraftSentences	25
worn	ADJ	lovecraftSentences	11
dismal	ADJ	lovecraftSentences	1
vague	ADJ	lovecraftSentences	3
bright	ADJ	lovecraftSentences	11
educated	ADJ	lovecraftSentences	5
much	ADJ	lovecraftSentences	7
other	ADJ	lovecraftSentences	4
old	ADJ	lovecraftSentences	9
future	ADJ	lovecraftSentences	7
dark	ADJ	lovecraftSentences	16
ancient	ADJ	lovecraftSentences	4
well	ADJ	lovecraftSentences	22
well	ADJ	lovecraftSentences	22
strange	ADJ	lovecraftSentences	3
husky	ADJ	lovecraftSentences	3
low	ADJ	lovecraftSentences	16
