word	nodeType	unit	synset
hill	NOUN	lovecraftSentences	6
valley	NOUN	lovecraftSentences	1
wood	NOUN	lovecraftSentences	8
axe	NOUN	lovecraftSentences	3
glen	NOUN	lovecraftSentences	1
tree	NOUN	lovecraftSentences	7
brooklet	NOUN	lovecraftSentences	1
glint	NOUN	lovecraftSentences	4
sunlight	NOUN	lovecraftSentences	1
slope	NOUN	lovecraftSentences	3
farm	NOUN	lovecraftSentences	4
squat	NOUN	lovecraftSentences	8
moss	NOUN	lovecraftSentences	1
cottage	NOUN	lovecraftSentences	1
secret	NOUN	lovecraftSentences	14
ledge	NOUN	lovecraftSentences	1
chimney	NOUN	lovecraftSentences	2
side	NOUN	lovecraftSentences	14
gambrel	NOUN	lovecraftSentences	1
roof	NOUN	lovecraftSentences	5
folk	NOUN	lovecraftSentences	4
foreigner	NOUN	lovecraftSentences	2
place	NOUN	lovecraftSentences	32
imagination	NOUN	lovecraftSentences	3
dream	NOUN	lovecraftSentences	8
night	NOUN	lovecraftSentences	8
foreigner	NOUN	lovecraftSentences	2
day	NOUN	lovecraftSentences	10
head	NOUN	lovecraftSentences	42
queer	NOUN	lovecraftSentences	5
year	NOUN	lovecraftSentences	4
day	NOUN	lovecraftSentences	10
house	NOUN	lovecraftSentences	14
field	NOUN	lovecraftSentences	21
road	NOUN	lovecraftSentences	2
road	NOUN	lovecraftSentences	2
hill	NOUN	lovecraftSentences	6
valley	NOUN	lovecraftSentences	1
heath	NOUN	lovecraftSentences	2
people	NOUN	lovecraftSentences	6
road	NOUN	lovecraftSentences	2
south	NOUN	lovecraftSentences	7
trace	NOUN	lovecraftSentences	14
one	NOUN	lovecraftSentences	9
weed	NOUN	lovecraftSentences	4
wilderness	NOUN	lovecraftSentences	4
hollow	NOUN	lovecraftSentences	8
reservoir	NOUN	lovecraftSentences	4
wood	NOUN	lovecraftSentences	8
heath	NOUN	lovecraftSentences	2
water	NOUN	lovecraftSentences	10
surface	NOUN	lovecraftSentences	10
sky	NOUN	lovecraftSentences	2
ripple	NOUN	lovecraftSentences	4
sun	NOUN	lovecraftSentences	7
secret	NOUN	lovecraftSentences	14
day	NOUN	lovecraftSentences	10
secret	NOUN	lovecraftSentences	14
lore	NOUN	lovecraftSentences	1
ocean	NOUN	lovecraftSentences	2
mystery	NOUN	lovecraftSentences	2
earth	NOUN	lovecraftSentences	9
hill	NOUN	lovecraftSentences	6
vale	NOUN	lovecraftSentences	1
reservoir	NOUN	lovecraftSentences	4
place	NOUN	lovecraftSentences	32
town	NOUN	lovecraftSentences	4
witch	NOUN	lovecraftSentences	5
legend	NOUN	lovecraftSentences	2
evil	NOUN	lovecraftSentences	6
grandma	NOUN	lovecraftSentences	1
child	NOUN	lovecraftSentences	4
century	NOUN	lovecraftSentences	2
name	NOUN	lovecraftSentences	15
folklore	NOUN	lovecraftSentences	1
people	NOUN	lovecraftSentences	6
tangle	NOUN	lovecraftSentences	6
glen	NOUN	lovecraftSentences	1
slope	NOUN	lovecraftSentences	3
mystery	NOUN	lovecraftSentences	2
morning	NOUN	lovecraftSentences	4
